"File","Time","Period","Culture","Region","Modern Country","Source"
"cyprus_6-_44.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Museum of Art History, Vienna"
"cyprus_6-5c_43.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_6th_13.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_6th_c_21.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_7-6th_BC-5.jpg","-700:-600","Neo-Assyrian","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_roman_15.jpg","-100:200","Roman","Cypriot","Cyprus","Cyprus","Santa Barbara Museum of Art"
"cyrpus_5th_12.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"diayla_9.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala53.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala54.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala55.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala56.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"ebla11.jpg","-2600:-2400","Early Bronze Age","Ebla","Levant","Lebanon","National Museum of Damascus "
"ebla5.jpg","-2600:-2400","Early Bronze Age","Ebla","Levant","Lebanon","National Museum of Damascus "
"egypt_12d_9.jpg","-1900:-1800","Middle Kingdom","Egyptian","Egypt","Egypt","New Museum, Berlin"
"egypt_12dynasty_7.jpg","-2000:-1800","Middle Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_12thC_19.jpg","-1200:-1100","New Kingdom","Egyptian","Egypt","Egypt","Metropolitan Museum"
"egypt_13th_century.jpg","-1300:-1200","Middle Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_18_34.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","New Museum, Berlin"
"egypt_18d_44.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","Luxor Museum"
"egypt_18d_61.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","Museum of Art History, Vienna"
"egypt_18th_1.jpg","-1600:-1300","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_18th_dynasty7_1.jpg","-1600:-1300","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_19_5.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_19th_dynasty_2.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_1c_bc_6.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","British Museum"
"egypt_1st_2.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","Vatican Museum"
"egypt_1st_3.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","British Museum"
"egypt_22_3.jpg","-1000:-700","Third Intermediate","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_26th_dynasty1.jpg","-700:-500","Saite Period","Egyptian","Egypt","Egypt","British Museum"
"egypt_2c_8.jpg","-200:-100","Hellenistic","Egyptian","Egypt","Egypt","State Museum of Egyptian Art, Munich"
"egypt_3c_11.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","Brooklyn Museum"
"egypt_3rc_7.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","Museum of Fine Arts, Boston"
"egypt_3rd_10.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","British Museum"
"egypt_3rd_12.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","British Museum"
"egypt_3rd_dynasty6.jpg","-2700:-2600","Old Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_3rdcentury_BC_67.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_3rdcentury.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt","British Museum"
"egypt_4thC_14.jpg","-400:-300","Hellenistic","Greco-Egyptian","Egypt","Egypt","Metropolitan Museum"
"egypt_4thd_15.jpg","-2600:-2500","Old Kingdom","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_5th_dynasty1.jpg","-2500:-2300","Old Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_6_1.jpg","-2400:-2200","Old Kingdom","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_6c_11.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Metropolitan Museum"
"egypt_6c_12.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Metropolitan Museum"
"egypt_6c_15.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Bibliotheca Alexandrina"
"egypt_6c_20.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Museum of Fine Arts, Boston"
"egypt_6c_21.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_6c_35.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_6c_36.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Gulbenkian Museum"
"egypt_6thC_14.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt","Louvre Museum"
"egypt_7c_10.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt","Walters Art Museum"
"egypt_7c_12.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt","British Museum"
"egypt_7c_31.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt","National Museum of Sudan"
"egypt_7thc_15.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt","The Pushkin State Museum of Fine ArtsThe Ancient World"
"egypt_9_8c_15.jpg","-900:-800","Third Intermediate","Egyptian","Egypt","Egypt","Egyptian Museum, Berlin"
"egypt13c_3.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt19thc_4.jpg","-1900:-1800","Middle Kingdom","Egyptian","Egypt","Egypt","Egyptian Museum, Berlin"
"egypt3rd_9.jpg","-300:-200","Hellenistic","Egyptian","Egypt","Egypt","Walters Art Museum"
"egypt5d_31.jpg","-2600:-2400","Old Kingdom","Egyptian","Egypt","Egypt","Cleveland Museum of Art"
"gandhara1.jpeg","100:200","Kushan","Kushan","Gandhara","Pakistan","Tokyo National Museum"
"gandhara10.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan","Guimet Museum"
"gandhara11.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","National Museum of Pakistan"
"gandhara12.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan","Metropolitan Museum"
"gandhara13.jpg","200:400","Kushan","Kushan","Gandhara","Pakistan","Metropolitan Museum"
"gandhara14.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan","Victoria and Albert Museum"
"gandhara15.jpg","200:300","Kushan","Kushan","Gandhara","Pakistan","British Museum"
"gandhara16.jpg","200:300","Kushan","Kushan","Gandhara","Pakistan","Victoria and Albert Museum"
"gandhara17.jpg","200:300","Kushan","Kushan","India-Pakistan","Pakistan","Yale University Art Gallery "
"gandhara18.jpg","200:300","Kushan","Kushan","India-Pakistan","Pakistan","National Museum of Pakistan"
"gandhara2.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","British Museum"
"gandhara3.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","British Museum"
"gandhara4.jpeg","100:200","Kushan","Kushan","Gandhara","Pakistan","Metropolitan Museum"
"gandhara5.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","National Museum of Pakistan"
