Similarity_Total,File 1,File 2,Time 1,Period 1,Culture 1,Time 2,Period 2,Culture 2
0.7299999999999965,assyrian4.jpg,phoenician_5_3.jpg,700:600,Neo-Assyrian,Assyrian,500:400,Achaemenid,Phoenician
0.7299999999999965,cypriot_6th_10.jpeg,cyprus_4th_c_4.jpg,600:500,Neo-Babylonian,Cypriot,400:300,Achaemenid,Cypriot
0.7299999999999965,cyprus_5th_8.jpg,cyprus_roman_15.jpg,500:400,Achaemenid,Cypriot,100:0,Roman,Cypriot
0.7299999999999965,cypriot_6th_10.jpeg,cyprus_7-6th_BC-5.jpg,600:500,Neo-Babylonian,Cypriot,700:600,Neo-Assyrian,Cypriot
0.7199999999999991,idalion_2_6thCentury.jpg,phoenician_5_3.jpg,600:500,Neo-Babylonian,Cypriot,500:400,Achaemenid,Phoenician
0.7199999999999991,cyprus_roman_15.jpg,new_kingdom_egypt2.jpg,100:0,Roman,Cypriot,1300:1200,New Kingdom,Egyptian
0.7199999999999991,achaemenid3.jpg,cypriot_6th_8.jpg,500:400,Achaemenid,Achaemenid,600:500,Neo-Babylonian,Cypriot
0.7199999999999991,cypriot-5thcentury_3.jpg,greek1st_4.jpg,500:400,Achaemenid,Cypriot,100:0,Roman,Greek
0.7199999999999991,egypt_13th_century.jpg,egypt_6_1.jpg,1800:1600,Middle Kingdom,Egyptian,2400:2200,Old Kingdom,Egyptian
0.7199999999999991,cyprus_roman_15.jpg,greek2nd_5.jpg,100:0,Roman,Cypriot,200:100,Hellenistic,Greek
0.7199999999999991,cypriot_5th.jpg,cyprus_7-6th_BC-5.jpg,500:400,Achaemenid,Cypriot,700:600,Neo-Assyrian,Cypriot
0.7199999999999991,cyprus_3_77.jpg,greek4th_1.jpg,300:100,Hellenistic,Cypriot,400:300,Hellenistic,Greek
0.7199999999999991,cyprus_2nd_13.jpg,greek2nd_4.jpg,200:100,Hellenistic,Cypriot,200:100,Hellenistic,Greek
0.7199999999999991,egypt_19th_5.jpg,ptolemaic_2.jpg,1300:1200,New Kingdom,Egyptian,200:100,Hellenistic,Greco-Egyptian
0.7199999999999991,egypt_1st_2.jpg,greek4th_1.jpg,100:0,Roman,Roman-Egyptian,400:300,Hellenistic,Greek
0.7199999999999991,achaemenid2.jpg,egypt_3rdcentury_BC_67.jpg,500:400,Achaemenid,Achaemenid,300:200,Hellenistic,Greco-Egyptian
0.7199999999999991,cyprus_6-5c_43.jpg,egypt_26th_dynasty1.jpg,600:500,Neo-Babylonian,Cypriot,700:500,Saite Period,Egyptian
0.7100000000000015,achaemenid6.jpg,cyprus_roman_15.jpg,500:400,Achaemenid,Achaemenid,100:0,Roman,Cypriot
0.7100000000000015,cyprus_4th_c_4.jpg,cyprus_6-5c_43.jpg,400:300,Achaemenid,Cypriot,600:500,Neo-Babylonian,Cypriot
0.7100000000000015,egypt_19th_5.jpg,egypt_3rdcentury.jpg,1300:1200,New Kingdom,Egyptian,300:200,Hellenistic,Greco-Egyptian
0.7100000000000015,cyprus_2nd_4.jpg,cyprus_roman_15.jpg,200:100,Hellenistic,Cypriot,100:0,Roman,Cypriot
0.7100000000000015,cypriot_6th_8.jpg,egypt_22_3.jpg,600:500,Neo-Babylonian,Cypriot,1000:700,Third Intermediate,Egyptian
0.7100000000000015,egypt_12dynasty_7.jpg,egypt_19th_5.jpg,2000:1800,Middle Kingdom,Egyptian,1300:1200,New Kingdom,Egyptian
0.7100000000000015,idalion_4_4thCentury.jpg,phoenician_5_2.jpg,400:300,Achaemenid,Cypriot,500:400,Achaemenid,Phoenician
0.7100000000000015,cypro_6th_centuryBC1.jpg,greek2nd_4.jpg,600:500,Neo-Babylonian,Cypriot,200:100,Hellenistic,Greek
0.7100000000000015,cypriot_6th_10.jpeg,cyprus_2_67.jpg,600:500,Neo-Babylonian,Cypriot,200:100,Hellenistic,Cypriot
0.7100000000000015,cyprus_6th_13.jpg,egypt_3rdcentury.jpg,600:500,Neo-Babylonian,Cypriot,300:200,Hellenistic,Greco-Egyptian
0.7100000000000015,egypt_12dynasty_7.jpg,idalion_2_6thCentury.jpg,2000:1800,Middle Kingdom,Egyptian,600:500,Neo-Babylonian,Cypriot
