Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.71,cyprus_2nd_4.jpg,cyprus_roman_15.jpg,200,100,Hellenistic,Cypriot,Cyprus,100,0,Roman,Cypriot,Cyprus
0.71,cypro_6th_centuryBC1.jpg,greek2nd_4.jpg,600,500,Neo-Babylonian,Cypriot,Cyprus,200,100,Hellenistic,Greek,Aegean
0.71,egypt_12dynasty_7.jpg,idalion_2_6thCentury.jpg,2000,1800,Middle Kingdom,Egyptian,Egypt,600,500,Neo-Babylonian,Cypriot,Cyprus
0.71,egypt_12dynasty_7.jpg,egypt_19th_5.jpg,2000,1800,Middle Kingdom,Egyptian,Egypt,1300,1200,New Kingdom,Egyptian,Egypt
0.71,cyprus_4th_c_4.jpg,cyprus_6-5c_43.jpg,400,300,Achaemenid,Cypriot,Cyprus,600,500,Neo-Babylonian,Cypriot,Cyprus
0.71,egypt_19th_5.jpg,egypt_3rdcentury.jpg,1300,1200,New Kingdom,Egyptian,Egypt,300,200,Hellenistic,Greco-Egyptian,Egypt
0.71,cypriot_6th_8.jpg,egypt_22_3.jpg,600,500,Neo-Babylonian,Cypriot,Cyprus,1000,700,Third Intermediate,Egyptian,Egypt
0.71,cyprus_6th_13.jpg,egypt_3rdcentury.jpg,600,500,Neo-Babylonian,Cypriot,Cyprus,300,200,Hellenistic,Greco-Egyptian,Egypt
0.71,achaemenid6.jpg,cyprus_roman_15.jpg,500,400,Achaemenid,Achaemenid,Iran,100,0,Roman,Cypriot,Cyprus
0.71,idalion_4_4thCentury.jpg,phoenician_5_2.jpg,400,300,Achaemenid,Cypriot,Cyprus,500,400,Achaemenid,Phoenician,Levant
