Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.5755555555555556,anatolia_14_3,greece_27_2500BCE1,-1400,-1300,Late Bronze,Hittite,Anatolia,-2700,-2500,Cycladic,Cyclades,Aegean
0.5755555555555556,greece_28_2500BCE2,new_kingdom_egypt2,-2800,-2500,Cycladic,Cyclades,Aegean,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5733333333333334,egypt_12d_9,egypt_12dynasty_7,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2000,-1800,Middle Kingdom,Egyptian,Egypt
0.5722222222222222,SM_22cbce_4,ebla5,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-2600,-2400,Early Bronze Age,Ebla,Levant
0.5722222222222222,egypt_12thC_19,egypt_6_1,-1200,-1100,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5711111111111111,egypt_12thC_19,egypt_19_5,-1200,-1100,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.57,greece_27_2500BCE1,indus1,-2700,-2500,Cycladic,Cyclades,Aegean,-2200,-1900,Harappan,Indus,India-Pakistan
0.57,egypt_12dynasty_7,egypt_18_34,-2000,-1800,Middle Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.57,egypt_6_1,ramsesII,-2400,-2200,Old Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.57,egypt13c_3,egypt_6_1,-1300,-1200,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5688888888888889,anatolia_14_3,egypt_13th_century,-1400,-1300,Late Bronze,Hittite,Anatolia,-1300,-1200,Middle Kingdom,Egyptian,Egypt
0.5688888888888889,egypt_18th_1,new_kingdom_egypt2,-1600,-1300,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5677777777777778,egypt13c_3,egypt_13th_century,-1300,-1200,New Kingdom,Egyptian,Egypt,-1300,-1200,Middle Kingdom,Egyptian,Egypt
0.5677777777777778,egypt13c_3,egypt19thc_4,-1300,-1200,New Kingdom,Egyptian,Egypt,-1900,-1800,Middle Kingdom,Egyptian,Egypt
0.5644444444444444,Diyala53,greece_27_2300BCE4,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2700,-2300,Cycladic,Cyclades,Aegean
0.5644444444444444,egypt_18d_44,levant_1400-1200BC_2,-1500,-1400,New Kingdom,Egyptian,Egypt,-1400,-1200,Late Bronze,Canaanite,Levant
0.5644444444444444,amorite_1,greece_27_2300BCE4,-1800,-1600,Middle Bronze Age,Amorite,Levant,-2700,-2300,Cycladic,Cyclades,Aegean
0.5622222222222222,egypt_18_34,egypt_6_1,-1500,-1400,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5622222222222222,amorite_1,egypt_18th_dynasty7_1,-1800,-1600,Middle Bronze Age,Amorite,Levant,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5611111111111111,SM_22cbce_3,egypt_19th_dynasty_2,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5611111111111111,egypt_18d_61,egypt_18th_1,-1500,-1400,New Kingdom,Egyptian,Egypt,-1600,-1300,New Kingdom,Egyptian,Egypt
0.56,greece_27_2300BCE4,ramsesII,-2700,-2300,Cycladic,Cyclades,Aegean,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5577777777777778,SM_22cbce_3,greece_27_2200BCE6,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-2700,-2200,Cycladic,Cyclades,Aegean
0.5566666666666666,egypt_12dynasty_7,indus3,-2000,-1800,Middle Kingdom,Egyptian,Egypt,-2500,-2000,Harappan,Indus,India-Pakistan
0.5566666666666666,SM_22cbce_3,thutmosesIII-1,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-1500,-1400,New Kingdom,Egyptian,Egypt
0.5566666666666666,egypt_18d_44,indus3,-1500,-1400,New Kingdom,Egyptian,Egypt,-2500,-2000,Harappan,Indus,India-Pakistan
0.5566666666666666,greece_27_2300BCE4,indus2,-2700,-2300,Cycladic,Cyclades,Aegean,-2200,-1900,Harappan,Indus,India-Pakistan
0.5566666666666666,egypt_19_5,sm_22_9,-1300,-1200,New Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5555555555555556,egypt_18d_44,greece_27_2200BCE5,-1500,-1400,New Kingdom,Egyptian,Egypt,-2700,-2200,Cycladic,Cyclades,Aegean
0.5533333333333333,indus1,new_kingdom_egypt2,-2200,-1900,Harappan,Indus,India-Pakistan,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5533333333333333,diayla_9,egypt5d_31,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2600,-2400,Old Kingdom,Egyptian,Egypt
0.5522222222222222,greece_27_2200BCE5,greece_27_2200BCE6,-2700,-2200,Cycladic,Cyclades,Aegean,-2700,-2200,Cycladic,Cyclades,Aegean
